sample_id,province,district,ward,cluster_id,cluster_latitude,cluster_longitude,cluster_altitude,FWS,polygenomic_infection
Sample5026433,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.44,No
Sample5026437,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.43,No
Sample5026438,Luapula,Chiengi,Munwa,61,-9.012800972,29.04298377,971.6666667,0.40,No
Sample5024414,Luapula,Chipili,Nalupembe,62,-10.79826882,29.13898841,1224.391304,0.60,No
Sample5024416,Luapula,Chipili,lupembe,62,-10.79826882,29.13898841,1224.391304,0.60,No
Sample5024442,Luapula,Kawambwa,Fisaka,63,-9.908447113,29.27683594,1196.48,0.59,No
Sample5024463,Luapula,Kawambwa,Chibote,64,-9.982904673,29.42036525,1207.458333,0.64,No
Sample5026460,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,1.00,Yes
Sample5024838,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.99,Yes
Sample5024839,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.88,No
Sample5024831,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.83,No
Sample5026480,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.76,No
Sample5024711,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.73,No
PU13,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.70,No
PU16,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.67,No
Sample5024706,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.59,No
Sample5026468,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.58,No
PU15,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.45,No
PU14,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.44,No
Sample5024833,Luapula,Lunga,Nsalushi,65,-11.59833384,30.2422444,1162.083333,0.39,No
Sample5024047,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.92,No
Sample5024701,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.90,No
Sample5024697,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.79,No
Sample5024819,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.63,No
Sample5024704,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.51,No
Sample5024820,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.43,No
Sample5024818,Luapula,Mansa,Lwingishi,68,-11.27658985,29.25159622,1223.32,0.32,No
Sample5024680,Luapula,Milenge,Fibalala,69,-11.76339298,29.51335587,1180.44,0.99,Yes
Sample5024681,Luapula,Milenge,Fibalala,69,-11.76339298,29.51335587,1180.44,0.83,No
Sample5024069,Luapula,Milenge,Fibalala,69,-11.76339298,29.51335587,1180.44,0.51,No
Sample5024096,Luapula,Milenge,Fibalala,69,-11.76339298,29.51335587,1180.44,0.47,No
Sample5024673,Luapula,Milenge,Fibalala,69,-11.76339298,29.51335587,1180.44,0.38,No
Sample5025268,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.99,Yes
Sample5026450,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.93,No
Sample5024226,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.81,No
PU7,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.81,No
Sample5026134,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.80,No
PU8,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.68,No
Sample5025266,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.65,No
Sample5025264,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.58,No
Sample5026452,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.58,No
Sample5026443,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.51,No
Sample5026441,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.49,No
Sample5025257,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.48,No
Sample5025262,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.48,No
Sample5026133,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.47,No
Sample5025263,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.43,No
PU9,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.40,No
Sample5025261,Luapula,Mwansabombwe,Lufubu,70,-9.85202678,28.76371121,937.375,0.36,No
Sample5025499,Luapula,Mwense,Kasengu,71,-10.37100406,28.69229698,954.6666667,0.99,Yes
Sample5024996,Luapula,Mwense,Kasengu,71,-10.37100406,28.69229698,954.6666667,0.89,No
Sample5025398,Luapula,Mwense,Luche,72,-10.16529137,28.63499763,930.04,0.64,No
Sample5026302,Luapula,Nchelenge,Mwatishi,73,-9.168586349,28.85296227,957.32,1.00,Yes
Sample5026175,Luapula,Nchelenge,Mwatishi,73,-9.168586349,28.85296227,957.32,0.99,Yes
Sample5026240,Luapula,Nchelenge,Mwatishi,73,-9.168586349,28.85296227,957.32,0.85,No
Sample5026301,Luapula,Nchelenge,Mwatishi,73,-9.168586349,28.85296227,957.32,0.46,No
Sample5024262,Luapula,Nchelenge,Chilongo,74,-9.300877571,28.75013586,949.8181818,0.93,No
Sample5026435,Luapula,Nchelenge,Chilongo,74,-9.300877571,28.75013586,949.8181818,0.76,No
Sample5026403,Luapula,Nchelenge,Chilongo,74,-9.300877571,28.75013586,949.8181818,0.68,No
Sample5024264,Luapula,Nchelenge,Chilongo,74,-9.300877571,28.75013586,949.8181818,0.27,No
Sample5026161,Luapula,Nchelenge,Mulwe,75,-9.453264444,28.74366545,937.3913043,0.99,Yes
PU3,Luapula,Nchelenge,Mulwe,75,-9.453264444,28.74366545,937.3913043,0.83,No
PU1,Luapula,Nchelenge,Mulwe,75,-9.453264444,28.74366545,937.3913043,0.81,No
PU2,Luapula,Nchelenge,Mulwe,75,-9.453264444,28.74366545,937.3913043,0.54,No
Sample5026031,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.99,Yes
Sample5025922,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.98,Yes
Sample5024085,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.95,Yes
Sample5025923,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.91,No
Sample5024082,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.85,No
Sample5026032,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.62,No
Sample5024083,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.56,No
Sample5024006,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.55,No
Sample5025953,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.51,No
Sample5024086,Luapula,Samfya,Mano,76,-11.4674955,29.47388718,1195.28,0.32,No
Sample5025909,Luapula,Samfya,Kapata,77,-11.61153237,29.75106343,1162.041667,0.99,Yes
Sample5024019,Luapula,Samfya,Kapata,77,-11.61153237,29.75106343,1162.041667,0.96,Yes
PU11,Luapula,Samfya,Kapata,77,-11.61153237,29.75106343,1162.041667,0.76,No
PU10,Luapula,Samfya,Kapata,77,-11.61153237,29.75106343,1162.041667,0.74,No
PU12,Luapula,Samfya,Kapata,77,-11.61153237,29.75106343,1162.041667,0.57,No
Sample5025930,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.99,Yes
Sample5025929,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.94,No
Sample5024009,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.75,No
Sample5025954,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.64,No
Sample5024056,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.62,No
Sample5024008,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.59,No
Sample5025967,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.51,No
Sample5024011,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.50,No
Sample5024054,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.46,No
Sample5025964,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.43,No
Sample5024055,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.40,No
Sample5025957,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.37,No
Sample5024051,Luapula,Samfya,Masonde,78,-10.97421013,29.56184335,1205.363636,0.35,No
Sample5024029,Luapula,Samfya,Kafumbo,79,-11.08685529,29.6572094,1167.833333,0.91,No
Sample5024012,Luapula,Samfya,Kafumbo,79,-11.08685529,29.6572094,1167.833333,0.81,No
Sample5024686,Luapula,Samfya,Chifunabuli,80,-11.17786476,29.57344711,1166.44,0.99,Yes
Sample5024884,Muchinga,Chama,Chisunga,98,-10.5810687,33.05779134,778.0434783,0.99,Yes
Sample5024525,Muchinga,Chama,Chisiya,99,-11.68667499,32.77144848,636.3181818,0.55,No
Sample5025753,Muchinga,Chinsali,Lubwa,100,-10.53109623,31.72679382,1208,0.99,Yes
Sample5025654,Muchinga,Chinsali,Lubwa,100,-10.53109623,31.72679382,1208,0.97,Yes
Sample5025643,Muchinga,Chinsali,Lubwa,100,-10.53109623,31.72679382,1208,0.87,No
Sample5025644,Muchinga,Chinsali,Lubwa,100,-10.53109623,31.72679382,1208,0.55,No
Sample5025918,Muchinga,Isoka,Nkombwa,101,-10.19429616,32.77507369,988.0833333,0.36,No
Sample5025958,Muchinga,Mafinga,Kakoma,102,-10.41617601,33.32793907,1420.086957,0.99,Yes
Sample5025941,Muchinga,Mafinga,Kakoma,102,-10.41617601,33.32793907,1420.086957,0.81,No
Sample5025942,Muchinga,Mafinga,Kakoma,102,-10.41617601,33.32793907,1420.086957,0.72,No
Sample5025617,Muchinga,Mpika,Munikashi,103,-11.7287951,30.79669462,1228,0.83,No
Sample5025973,Muchinga,Mpika,Munikashi,103,-11.7287951,30.79669462,1228,0.82,No
Sample5025982,Muchinga,Mpika,Munikashi,103,-11.7287951,30.79669462,1228,0.65,No
Sample5025782,Muchinga,Mpika,Mukungwa,104,-11.50498577,31.30752663,1330.6,0.95,Yes
Sample5025773,Muchinga,Mpika,Mukungwa,104,-11.50498577,31.30752663,1330.6,0.79,No
Sample5025776,Muchinga,Shiwangandu,Chamusenga,106,-11.08644975,32.17365993,1261.863636,0.99,Yes
Sample5025822,Muchinga,Shiwangandu,Chamusenga,106,-11.08644975,32.17365993,1261.863636,0.59,No
Sample5026729,North-Western,Chavuma,Chiyeke,111,-13.07280818,22.74123079,1086.181818,0.74,No
Sample5024513,North-Western,Kabompo,Kabulamena,112,-13.84794998,24.02361454,1067.409091,0.99,Yes
Sample5024515,North-Western,Kabompo,Kabulamena,112,-13.84794998,24.02361454,1067.409091,0.99,Yes
Sample5026727,North-Western,Mwinilunga,Kanongesha,115,-11.74982067,24.41503284,1358,0.99,Yes
Sample5024275,North-Western,Mwinilunga,Kanongesha,115,-11.74982067,24.41503284,1358,0.90,No
Sample5024591,North-Western,Mwinilunga,Kanongesha,115,-11.74982067,24.41503284,1358,0.59,No
Sample5024504,North-Western,Mwinilunga,Chibwika,116,-12.16997288,24.28144671,1302.913043,0.98,Yes
Sample5024500,North-Western,Mwinilunga,Chibwika,116,-12.16997288,24.28144671,1302.913043,0.87,No
Sample5026712,North-Western,Mwinilunga,Chibwika,116,-12.16997288,24.28144671,1302.913043,0.62,No
Sample5026735,North-Western,Mwinilunga,Chibwika,116,-12.16997288,24.28144671,1302.913043,0.59,No
Sample5024485,North-Western,Mwinilunga,Chibwika,116,-12.16997288,24.28144671,1302.913043,0.57,No
Sample5026773,North-Western,Mwinilunga,Chibwika,116,-12.16997288,24.28144671,1302.913043,0.42,No
Sample5025095,North-Western,Solwezi,Kangwena,117,-12.30446266,26.99229866,1387.92,0.82,No
Sample5025089,North-Western,Solwezi,Kangwena,117,-12.30446266,26.99229866,1387.92,0.77,No
Sample5025065,North-Western,Solwezi,Kangwena,117,-12.30446266,26.99229866,1387.92,0.50,No
